Name, Category Type, Category Subtype, Phone, Website, Email, Geographic Location
SoHo,tourism,attraction,,,,--
The Cooper Union,amenity,university,,,,--
Public School 177,amenity,school,,,,--
Public School 23,amenity,school,,,,--
First Shearith Israel Graveyard,amenity,grave_yard,,,,--
Public School 124,amenity,school,,,,--
Old Saint Patrick's Convent and Girls School,amenity,school,,,,--
First Ukrainian Assembly of God Church,amenity,place_of_worship,,,,--
Sung Tak Buddhist Temple,amenity,place_of_worship,,,,--
Seventh Day Adventist Church of Union Square,amenity,place_of_worship,,,,--
First Warsaw Congregation,amenity,place_of_worship,,,,--
Brookdale Center Hebrew Union College,amenity,school,,,,--
Generoso Pope Catholic Center at New York University,amenity,place_of_worship,,,,--
First Ukrainian Evangelical Pentecostal Church,amenity,place_of_worship,,,,--
Eastern States Buddhist Temple,amenity,place_of_worship,,,,--
Heavenly Grace Buddhist Temple,amenity,place_of_worship,,,,--
Public School 130,amenity,school,,,,--
Angelika Film Center,amenity,cinema,,,,--
Grey Art Gallery,amenity,arts_centre,,,,--
Public Theatre,amenity,public_building,,,,--
Rod Rogers Dance Company,amenity,dancing_school,,https://www.rodrodgersdance.org/,,New York-10003-East 4th Street
NYU Courant Institute of Mathematical Sciences,amenity,university,,,,New York--Mercer Street
Museum of African Art,tourism,museum,,,,--
Lower East Side Tenement Museum,tourism,museum,+1 212-982-8420,https://www.tenement.org/,,New York--Orchard Street
Whiskey Tavern,amenity,pub,+1 212 374 9119,,,--
Nha Trang One,amenity,restaurant,+1-212-233-5948,http://nhatrangnyc.com,,--
The Bowery Hotel,tourism,hotel,,https://www.theboweryhotel.com/,,New York-10003-Bowery
La Newyorkina,amenity,restaurant,,http://places.singleplatform.com/la-newyorkina/menu?ref=google,,New York-10012-Sullivan Street
Swift Hibernian Lounge,amenity,pub,+1 212-260-3600,https://www.swiftnycbar.com/,info@swiftnycbar.com,New York-10003-East 4th Street
Freemans,amenity,restaurant,+1-212-420-0012,https://www.freemansrestaurant.com,,New York-10002-Freeman Alley
Think Coffee,amenity,cafe,,https://www.thinkcoffee.com/,,--Bleecker Street
Le Basket,amenity,fast_food,,,,--
Starbucks,amenity,cafe,+1-917-534-0799,https://starbucks.com/store/16853/,,--Broadway
Lombardi's Pizza,amenity,restaurant,,https://www.firstpizza.com/,,New York--Spring Street
China Village Restaurant,amenity,restaurant,+1-212-941-6679,,,--Baxter Street
The Standard. East Village,tourism,hotel,(212) 475-5700,,,New York-10003-Cooper Square
Phebes,amenity,pub,,https://www.phebesnyc.com/,,New York-10003-Bowery
Colors Restaurant,amenity,restaurant,,,,--Lafayette Street
SoHo Cafe,amenity,cafe,,,,--
Chase,amenity,bank,,,,--
Hoy Wong Restaurant,amenity,restaurant,,,,--Mott street
284 Mott Street,amenity,car_sharing,,,,--
Think Coffee,amenity,cafe,,https://www.thinkcoffee.com/,,New York-10012-Mercer Street
NYU Philosophy Department,amenity,university,,,,--
Vanessa's Dumpling House,amenity,restaurant,+1-212-625-8008,https://vanessas.com/,,New York-10002-Eldridge Street
Toby's Public House,amenity,restaurant,,,,--
Subway,amenity,fast_food,,www.subway.com,,-10002-Chrystie Street
Anthology Film Archives,amenity,cinema,+1-212-505-5181,http://www.anthologyfilmarchives.org/,,--2nd Avenue
Starbucks,amenity,cafe,+1-212-219-2961,,,New York-10002-Spring Street
Bite,amenity,cafe,,https://www.bitenyc.com/,,New York--Lafayette Street
Pinche Taqueria,amenity,restaurant,,,,--
Apothéke,amenity,bar,,https://www.apothekenyc.com/,,New York--Doyers Street
Joe's Shanghai,amenity,restaurant,+1 212-233-8888,https://www.joeshanghairestaurants.com/location_eng.html,,New York-10013-Pell Street
Sun Bright,tourism,hostel,,,,--Hester Street
NYPD 5 PCT,amenity,police,,,,--
Citi Bike,amenity,bicycle_rental,,https://citibikenyc.com/,,--
NYU Stern School of Business,amenity,university,,,,--
Yonah Shimmel Knish Bakery,amenity,cafe,+1-212-477-2858,http://www.knishery.com,,-10002-East Houston Street
Jing Fong,amenity,restaurant,+1 212 964-5256,http://www.jingfongny.com/,,New York-10013-Elizabeth Street
Golden Unicorn,amenity,restaurant,+1 212 941 0911,http://www.goldenunicornrestaurant.com/,,New York-10002-East Broadway
Beverly's,amenity,bar,,http://beverlysnyc.com/,,New York-10002-Essex Street
Dim Sum Go Go,amenity,restaurant,,,,--East Broadway
Noho Star,amenity,restaurant,+1 212 925-0070,http://www.nohostar.com/,,New York-10012-Lafayette Street
The Bowery Market,amenity,restaurant,,,,-10012-Bowery
Le Souk New York - Restaurant & Hookah Lounge,amenity,restaurant,+1-212-777-5454,http://lesoukny.com/,,New York-10012-Laguardia Place
Harvestworks,amenity,studio,+1 212-431-1130,http://www.harvestworks.org,,-10012-Broadway
